sr,filename,keyphrases,label
11 , e-335.txt ,"de niro film us box officefilm star robert de niro the top the north american box office his film hide and seek the thriller the number one spot $22m £11.7m the box office de niro three weeks the top comedy the fockers number five this week oscar hopefuls the aviator million dollar baby sideways their multiple nominations stronger ticket sales hide and seek de niro a widower whose daughter a creepy imaginary friend lukewarm reviews critics the film more than the $18m £9.5m the element a real actor a psychological thriller bruce snyder president domestic distribution 20th century fox clint eastwood million dollar baby the oscar hopefuls $11.8m £6.3m number three its first weekend wide release the aviator a film biography howard hughes the oscar field 11 nominations number six the weekend $7.5m £4m oscar best-picture nominee sideways the top ten the first time its 15th week release seventh $6.3 £3.35m last week top film ice cube road-trip comedy second place $17m £9m coach carter two places number four $8m £4.25m its third week the top ten good company - starring dennis quaid and scarlett johansson - racing stripes and assault precinct 13", entertainment
12 , s-096.txt ,"van nistelrooy manchester united striker ruud van nistelrooy his comeback an achilles tendon injury the fa cup fifth round tie everton saturday action nearly three months a return the champions league tie ac milan 23 february manchester united manager sir alex ferguson a chance everton training the 28-year-old holland and ferguson ruud tuesday the training holland van nistelrooy united 13 wins 15 league games a 2-0 derby victory manchester city sunday the return the dutch international the club top scorer this season 12 goals the injury the 3-0 win west brom 27 november ferguson van nistelrooy an injury united injuries both alan smith and louis saha van nistelrooy absence wayne rooney a lone role the teenager six goals nine games the first goal city sunday", sports
13 , s-240.txt ,"man utd exeter testmanchester united an fa cup past exeter city their third round replay cristiano ronaldo the opener the ball paul jones  legs just nine minutes united a host chances jones some great saves wayne rooney the tie doubt a cool finish exeter chances their own sean devine wide and andrew taylor tim howard united boss sir alex ferguson few chances their 0-0 draw the first game paul scholes and ryan ronaldo and rooney exeter devine and steve flack plenty the ball united their authority the hosts a goal scholes a lovely pass ronaldo the left-hand side the six-yard box the portuguese winger the ball the legs jones the scoring united a chance the tie a contest ronaldo jones scholes rooney the visitors  pressure rooney another shot ronaldo the bar a good position the break giggs a golden chance the advantage the welshman a left-foot effort 10 yards stoppage time exeter their best chance alex jeannin a cross the left devine goalwards the ball howard goal the grecians the break determined fashion howard safe hands two searching crosses the united box rooney the result a turn the ball the st james park mud jones the goalline moments later devine the chance a hero jeannin brilliant cross howard goal unmarked six yards rooney a free-kick 20 yards taylor his stunning drive distance a flying stop howard the home crowd a goal the ball the net devine low effort an obvious offside the persistent rooney jones three minutes an empty net book a home tie middlesbrough the fourth round jones hiley sawyer gaia jeannin moxey taylor martin 89 ampadu afful 69 clay flack edwards 74 devine subs rice todd ampadu clay howard phil neville gary neville oshea fortune giggs saha 70 miller fletcher 66 scholes djemba-djemba silvestre 80 ronaldo rooney subs ricardo bellion ronaldo 9 rooney 87.9033 p dowd staffordshire", sports
14 , s-409.txt ,"oconnell lions rumoursireland munster paul oconnell media reports the captaincy the lions tour new zealand this summer oconnell the front-runners the job sunday six nations crunch clash england these reports bbc sport the lions thing all speculation and newspaper talk my job the only thing some reports the opposition this guy second row the one thing oconnell a try-scoring international debut wales two years his meteoric rise rugby shop window the lions sir clive woodward a few times summer holidays wounded england abilities sunday game two straight defeats predictions a certain irish victory this england team so much experience and skill a bad team two world class game-breakers josh lewsey jason robinson charlie hodgson place ireland the mistake our squad no ireland team england that trap every time england a big task two years that game a good feeling a replacement 13-6 42-6 england dublin dublin two wins a grand slam the face", sports
15 , b-026.txt ,"safety alert gm cars the world biggest carmaker general motors gm nearly 200000 vehicles the us safety grounds federal regulators the national highway traffic safety administration nhtsa the largest recall 155465 pickups vans sports utility vehicles suvs possible malfunctions the braking systems the affected vehicles the product recall the 2004 and 2005 model years gm those vehicles potential faults the chevrolet avalanche express kodiak silverade and suburban the gmc savana sierra and yukon the nhtsa a pressure accumulator the braking system normal driving and fragments people the hood hydraulic fluid a crash gm 19924 cadillac xlr coupes srx suvs pontiac grand prix sedans the 2004 model year the accelerator pedal extremely cold temperatures more braking addition the car giant 17815 buick raniers chevrolet trailblazers gmc envoys isuzu ascenders the 2005 model years the windshield a crash gm any injuries the problems news the recall an announcement last month gm earnings this year 2004 the world biggest car maker losses its european business weak us sales a product january gm higher healthcare costs north america lower profits its financial services subsidiary its performance 2005", business
16 , e-162.txt ,"prince top music earner prince more than any other pop star 2004 artists madonna and elton john us magazine rolling stone annual list the singer $56.5m £30.4m concerts album publishing sales his musicology tour album madonna second place $54.9m £29.5m her global re-invention tour veterans simon and garfunkel 10th place their comeback tour $24.9m £13.4m last year prince centre stage a decade the commercial wilderness the magazine the singer 2004 tour $90.3m £48.5m ticket sales 1.9 million copies his latest album musicology more than prince last year madonna second place the monumental production costs her tour heavy metal band metallica madly anger the world tour their 2004 earnings $43.1m £23.1m sir elton john fourth place almost $42.7m £23m performances a debut the las vegas strip other seasoned performers the list rod stewart whose sold-out shows third volume the great american songbook covers album net 35m £19m the highest-ranking rap act the list 50 cent number 19 $24m £13m the bank", entertainment
17 , p-062.txt ,"muslims election concerns muslims voting the next general election uk community representatives the event the muslim association britain mab muslim voters the result up to 50 constituencies last year mab the war iraq muslims labour the european elections a spokesman the meeting anti-labour this meeting anti-party the issues muslims mab spokesman dr azzam tamimi tuesday event issues concern muslims muslims the past a vote these issues dr tamimi the main issues muslims the war iraq the palestinian situation the erosion civil liberties muslims the uk and economic social and education problems approximately 1.1m the uk 1.6m muslims voting age previous election research the overwhelming majority labour more recent studies labour support some muslim voters anger the war iraq the main reason representatives a number muslim organisations tuesday event the muslim council britain mcb the chairman the mcb public affairs committee sher khan the war iraq a significant factor muslims  voting intentions the number seats an impact mr khan professor john curtice the university strathclyde how much difference tactical voting muslims the most part the labour constituencies a large muslim community one or two professor curtice the constituencies labour risk a muslim tactical vote bethnal green east london rochdale lancashire bethnal green former labour mp george galloway the anti-war party respect mp oona king a 10000-vote majority 2001 rochdale the liberal democrats the mainstream party a 2004 icm survey muslim disaffection labour - secured second place the 2001 election 6000 votes fewer labour lorna fitzsimons professor curtice the muslim anti-war vote the liberal democrats and respect the ballot box the tories the beneficiaries labour seats the case dr tamimi mab intention the tories the next government labour a message a difference the muslims their vote the next labour government a reduced majority a great achievement a very big majority politics this country dr tamimi", politics
18 , t-010.txt ,"google toolbar concernsearch engine firm google a trial tool some net users people pre-selected commercial websites the autolink feature google latest toolbar links a webpage amazon.com a book isbn number the site google map service an address car firm carfax a licence plate google the feature the us useful links some users google dominant position the search engine market place a competitive edge firms amazon autolink a link a website information a webpage no link the publisher the page permission a user the autolink feature the google toolbar a webpage a book unique isbn number amazon website online libraries list isbn book numbers users amazon.com websites advertising their pages people rival services dan gillmor founder grassroots media citizen-based media the tool a bad idea an unfortunate move a company its hypergrowth a statement google the feature beta ie trial stage the company feedback users the user the autolink button web pages addition the user the autolink feature any time the new tool the smart tags feature microsoft some users net users microsoft concerns trademark use smart tags microsoft any word a web page another site the company google the companies autolinks the service some users autolink websites the feature their pages revenue any click a commercial site cory doctorow european outreach coordinator digital civil liberties group electronic fronter foundation google its market dominance course google people whatever proxies an end user this service google my own companies the ones google mr doctorow the only objection users autolink the service", technology
19 , p-388.txt ,"plan elderly care control elderly and disabled people their own budget personal care government plans ministers elderly and disabled people not social workers their care their own homes a supremo adult services each english area different agencies the government opponents  calls free long-term care 1.7m people care england and ministers the number 2050 monday consultation paper social care adults england a system dependency health minister stephen ladyman this document the antithesis the nanny state power the state individuals these decisions the government local councils people money their services the scheme ministers the new plans direct payments reluctance some local councils the payments a new half-way house social workers people how much money their care that individual budget the scheme existing budgets 2008 mr ladyman the plans savings some areas nhs beds illnesses free personal care england offer scotland and wales david rogers the local government association agencies the kind innovation the government tony hunter president the association directors social services the plans dignity and well-being thousands people age concern social care older people choice principle practice its director general gordon lishman direct payments no services people the tories people three years  long-term care insurance free care the rest their lives tory spokesman simon burns more than 80000 long term care places 1997 eight years persistent change dogmatic enforcement regulation overbearing government initiatives action not a vision mr burns the lib dems free personal care a new 50% tax rate incomes £100000 health spokesman paul burstow promoting independence people their own homes a goal the risk independence isolation the right support and care", politics
20 , e-145.txt ,"sir paul rocks super bowl crowdssir paul mccartney fans a live mini-concert american football super bowl any janet jackson-style controversies the 62-year-old hey jude other beatles songs a 12-minute set half-time the game florida last year jackson a breast a dance routine outrage millions tv viewers the cbs tv network a fine sir paul his jacket organisers this year 62-year-old sir paul his second super bowl show three years the first super bowl the september 11 attacks his specially-written song freedom this time the show the alltel stadium jacksonville florida the beatles numbers drive my car a mellow version live and let die the james bond theme the band wings the show a rousing version hey jude the former beatle any temptation janet jackson headline-grabbing performance last year banter songs a minimum much music his slot the singer his black jacket the show any fans a second nipple-gate his red sweatshirt underneath the black eyed peas and alicia keys the night other high-profile entertainment a pre-game show black eyed peas singer fergie a tight orange top purple hotpants her performance tv watchdogs the controversy last year cbs a record $550000 £292000 federal regulators super bowl organisers producer don mischer this year half-time show his previous production credits olympic opening closing ceremonies the super bowl an audience 144.4 million the us the people the entertainment the event michael jackson aerosmith diana ross gloria estefan phil collins the stars the super bowl stage", entertainment
21 , s-406.txt ,"fuming robinson officialsengland coach andy robinson his side two tries sunday 19-13 six nations loss ireland dublin mark cueto first-half effort offside the referee tv replays england the dying minutes two tries robinson bbc sport technology south african referee jonathan kaplan cueto charlie hodgson the fly-half his cross-field kick the sale wing kaplan the chance the fourth official josh lewsey the ball the irish line a pile bodies the game-winning try mark cueto a perfectly legal try the video referee josh lewsey robinson the technology the cueto no doubt the referee charge his way the game my players a couple decisions a very famous victory matt stevens an awesome game tighthead prop the likes charlie hodgson martin corry lewis moody josh lewsey every one the forwards the pressure credit all the players a game rugby ireland a good side every chance this six nations england their first three this year six nations their six games robinson sir clive woodward september", sports
22 , b-042.txt ,"uk coal deeper lossshares uk coal the mining group losses £51.6m 2004 £1.2m the uk biggest coal producer geological problems industrial action operating flaws its deep mines its worsening fortunes the south yorkshire company new chief executive gerry spindler profit 2006 early trade thursday its shares 10% 119 pence uk coal significant progress the business new wage structures a new daily maintenance regime machinery its mines and methods mining adverse conditions the company these actions earnings 2005 a transitional year profitability 2006 the recent rise coal prices the company its output total production costs £1.30 gigajoule uk coal the average selling price £1.18 gigajoule a long journey these issues progress great strides mr spindler uk coal 15 deep and surface mines nottinghamshire derbyshire leicestershire yorkshire the west midlands northumberland and durham", business
23 , b-060.txt ,"insurance bosses another three us insurance executives fraud charges an ongoing investigation industry malpractice two executives american international group aig marsh & mclennan the latest the investigation new york attorney general eliot spitzer nine guilty pleas the highest ranking executive tuesday former marsh senior vice president joshua bewlay one felony count four years prison a marsh spokeswoman mr bewlay the company mr spitzer investigation the us insurance industry companies bids fixed prices last month marsh $850m £415m a lawsuit mr spitzer the settlement the allegations", business
24 , s-270.txt ,"strachan pompeyformer southampton manager gordon strachan the chance portsmouth new boss the scot pompey chairman milan mandaric first choice harry redknapp fratton park rivals saints december a fantastic job the southampton manager strachan the bbc club director terry brady initial talks strachan saturday the former scotland international southampton local rivals a wise move too many memories the other side those memories 10 minutes good players a good set-up a good atmosphere the ground lots the southampton manager redknapp departure executive director velimir zajec coach joe jordan first-team affairs the duo unbeaten sunday 1-0 defeat home champions arsenal the club a respectable 12th place the premiership table strachan st mary february his intention a break the game the end the 2003-04 season his previous managerial experience coventry five years 1996 to 2001", sports
25 , p-241.txt ,"councils tax council tax scotland an average about 4% the coming year bbc scotland authorities final figures thursday projected increases more than twice the rate inflation 1.6% the finance minister councils increases services funding much additional government money new initiatives scottish finance minister tom mccabe msp last week parliament an additional £419m core expenditure local government scotland a 5.5% increase an inflation rate 1.6% councils this year the very least restraint mr mccabe local authorities money coming years bbc radio scotland sunday live programme scotland 32 councils their own individual collection systems council tax their own payroll systems their own human resource systems opportunities rationalisation the money frontline services the councils  umbrella organisation cosla bbc scotland the indicative figures next year councils a continuous struggle services mr mccabe £8.1bn next year the increase new initiatives and councils difficulties core services a cosla spokesman cosla the executive efficiency savings services the funding plans the next three years councils the share public spending the conservatives the scottish executive the council tax funds income tax the tory finance spokesman brian monteith msp a form disguise council tax a way costs scared its three pence income tax the years local authorities the council tax payer the bill warnings councils the next few years services linda knox director the scottish local authority management centre strathclyde university this current settlement the increase the same time the burdens councils the settlement figures pay increases the executive a substantial figure the area £325m - in efficiency savings the settlement period education any cuts linda knox other services practice a 4-5% other services the face the settlement an increase about 9.7% the time account other factors only about 1% real terms", politics
26 , e-348.txt ,"berlin european cinemaorganisers this year berlin film festival thursday period epic man man a revitalised european cinema the 21 films competition the golden and silver bear awards more than europe france festival director dieter kosslick this strong showing signals a new consciousness european films an incredible winning streak the reuters agency any good american films more good european films mr kosslick that widespread opposition the iraq war audiences hollywood imports no anti-american mood some 350 films this year festival a further 300 the european film market more than a dozen celebrities will smith kevin spacey keanu reeves mr kosslick the academy awards 27 february the red carpet stars the festival january next year a similar clash the 10-day berlinale 20 february", entertainment
27 , b-067.txt ,"fao impact subsidiesbillions farmers  livelihoods risk commodity prices and protectionism the un food & agriculture organisation trade barriers subsidies the market the fao report the state agricultural commodity markets 2004 a result the 2.5 billion people the developing world face food insecurity the most endangered the least-developed countries the fao report support farmers industrialised nations 30 times the amount aid agricultural development poor countries the fao the world trade organisation negotiations trade developing countries  access the world market the high tariffs nations developing countries their own tariffs trade advantage market liberalisation the organisation subsidies and high tariffs a strong impact the trade products cotton and rice global exports these products the hands the european union the us subsidies very low prices fact almost 30 wealthy nations more than $300bn £158.8bn 230.9bn euros agricultural subsidies the market situation developing nations two groups the fao the first group a reasonably diverse range agricultural products the second group agriculture the hands small-scale producers 43 developing countries more than 20% their export incomes the sale just one product these countries sub-saharan africa latin america the caribbean", business
28 , s-223.txt ,"benitez crucial winliverpool manager rafael benitez victory deportivo la coruna their tight champions league group jorge andrade early own goal liverpool a 1-0 win benitez a very high tempo many chances a very important win more goals the counter attack the next game igor biscan midfield injured xabi alonso benitez all the players a good squad more games a high level benitez our own hands a great win the best liverpool my feelings spain the champions league spain my first consideration liverpool what country benitez benitez a problem the start xabi more than 45 minutes the end the way dietmar hamann igor biscan things the end the match depor a good team possession the counter-attack deportivo coach javier irureta liverpool six games home europe scoring our overall performances this time imagination the goal a bad mistake a big blow our confidence players the ball that stage bottom the group hope", sports
29 , b-365.txt ,"nasdaq $100m-share sale the owner the technology-dominated nasdaq stock index shares the public and list the market a registration document the securities and exchange commission nasdaq stock market $100m £52m the sale some observers another step a full public listing nasdaq an icon the 1990s technology boom cold water those suggestions the company shares private placements 2000 and 2001 public 2002 the stock trading the otc bulletin board equities nasdaq money the sale only investors shares the private placings the filing documents the nasdaq shares technology firms other companies high growth potential the most potent symbol the 1990s internet telecoms boom nose-diving the bubble burst a recovery the fortunes tech giants intel dot.com survivors amazon its fortunes", business
30 , s-219.txt ,"hearts oak 3-2 cotonsporthearts oak an all ghanaian confederation cup final a 3-2 win cameroon cotonsport garoua accra sunday the win hearts asante kotoko the two-leg final the kumasi team group a saturday the other group b game cameroon beat south africa 3-2 douala neither side the final hearts oak the game a win the final cotonsport defeat louis agyemang the first two goals hearts side half time ben don bortey the third hearts a comfortable win cotonsport a late fight all boukar makaji the 89th minute 3 minutes injury time the end the game andre nzame iii target the cameroonians and hearts the game a place the final the first leg the final accra the weekend 27-28 november the second leg two weeks the 11 december kumasi the other group b game cameroon sable batie the lead the 35th minute kemadjou santos the hour mark thokozani xaba bernard ngom sable just five minutes ernest nfor the game 68 minutes ruben cloete the south african sides consolation just three minutes the clock", sports
31 , t-072.txt ,"gadget growth fuels concernstechnology firms gadget lovers the environment the latest hi-tech products the consumer electronics show las vegas earlier this month several hi-tech firms their strategies the environment ebay the rethink project intel apple and ibm recycling the us consumer electronics market over 11% 2005 more awareness old gadgets the us environmental protection agency epa particular growing concern energy portable devices the fastest growing markets technology the consumer electronics association cea shipments consumer technologies 2005 more than $125.73 billion nearly £68 billion ebay initiative major technology firms environment groups government agencies ebay users information old computers the online auction house its already-established community loyal users the e-waste issue our 125 million users a powerful force good ebay david stern the bbc news website the opportunity the additional demand the site used computers the opportunity some good the environment computers a problem the environment teenagers a new mobile every 11 months adults every 18 months a 15 million handsets total each year only 15% this year a predicted two billion people a mobile a deloitte report schemes the us ripmobile younger generations recycling messages the initiative ces rewards 10 to 28-year-olds unused phones this system the transformation a drawer unused mobile phones music clothes electronics or games seth heine ripmobile one group students 1000 mobiles recycling just three months mr heine the bbc news website awareness the young recycling behaviour europe the us terms recycling awareness robust end life programmes a tide change the rest the world intel some its motherboards and chips ces more and more awareness the consumer side the whole industry intel allen wilson the bbc news website low-level awareness the rise the highest level awareness europe a european union eu directive weee waste electronic electrical equipment effect august the responsibility electrical manufacturers items developments better technologies more energy harmful substances elements chromium lead cadmium - common consumer electronics goods all products the eu 2006 the predicted huge growth the gadget market the amount energy power the rise the biggest culprit the epa the innocuous power adaptor energy vampires vital juice billions mobile phones pdas personal digital assistants digital cameras camcorders digital music players a focus efficient and improved circuits the devices the technologies rechargers more energy power a gadget 1 january new efficiency standards external power supplies effect part the european commission code conduct ces the epa new guidelines its latest energy star initiative external power adapters the framework better adaptors an energy star logo about 35% the initiative a global effort more manufacturers  adaptors board china about two billion global every year about three billion the us the epa several companies more than 22% power supplies the market companies neat hi-tech devices bundle a hi-tech efficient power supply the epa andrew fanara initiatives power adaptors consumer electronics other small appliances more than 40% electricity us homes the epa", technology
32 , b-133.txt ,"salary scandal camerooncameroon widespread corruption its finance ministry 1bn cfa francs $2m £1m a month about 500 officials extra money salaries non-existent workers prime minister ephraim inoni corruption office last year tough punishments the scam 1994 the prime minister office the alleged fraud an investigation the payroll the ministry certain cases staff their rank their retirement their earnings the prime minister office auditors irregularities the career structure certain civil servants the staff question unearned salaries the payroll fidelis nanga a journalist the cameroon capital yaounde the government criminal action any money the prime minister instructions exemplary penalties the accused their accomplices the bbc network africa programme mr inoni an anti-corruption drive december foreign investors a lack transparency the country public finances one initiative efficiency civil servants work their offices the government an audit payrolls all other government ministries a report anti-corruption body transparency international 2003 graft cameroon", business
33 , s-051.txt ,"iaaf greek sprint pairgreek sprinters kostas kenteris and katerina thanou wednesday missing drugs tests this summer the international association athletics federations iaaf council a conference call tuesday their decision kenteris and thanou up to two years the duo the olympics a test a motorcycle crash the greek authorities criminal charges the sprinters a drugs test an accident their former coach christos tzekos charges all three a trial date the iaaf the sprinters  future the track all the evidence the sport ruling body the greek federation what action the sprinters kenteris and thanou any decision the court arbitration sport the sprinters written explanations the iaaf account the iaaf an official warning the sprinters and coach tzekos training qatar crete kenteris and thanou tests tel aviv and chicago greece the olympics the pair another test athens the games kenteris 31 gold the 200m the sydney olympics 2000 thanou 29 silver the 100m", sports
34 , b-009.txt ,"ethiopia crop production 24% ethiopia 14.27 million tonnes crops 2004 24% 2003 and 21% the average the past five years a report 2003 crop production 11.49 million tonnes the joint report the food and agriculture organisation the world food programme good rains increased use fertilizers improved seeds the rise production 2.2 million ethiopians emergency assistance the report emergency food requirements 2005 387500 tonnes top 89000 tonnes fortified blended food vegetable oil targeted supplementary food distributions a survival programme children five and pregnant and lactating women eastern and southern ethiopia a prolonged drought crops wells last year a total 965000 tonnes food assistance seven million ethiopians the food and agriculture organisation fao the food assistance local purchase cereals food assistance programmes domestic markets and farmers henri josserand chief fao global information and early warning system agriculture the main economic activity ethiopia 45% gross domestic product about 80% ethiopians agriculture", business
